age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
39.0,management,married,secondary,no,517.0,yes,no,cellular,3.0,apr,240.0,1.0,136.0,5.0,failure,no
40.0,services,married,secondary,no,3164.0,yes,no,cellular,3.0,apr,329.0,2.0,-1.0,0.0,unknown,no
46.0,services,married,unknown,no,854.0,yes,no,cellular,3.0,apr,478.0,3.0,-1.0,0.0,unknown,no
49.0,management,married,,no,596.0,yes,no,cellular,3.0,apr,579.0,2.0,-1.0,0.0,unknown,no
51.0,services,married,secondary,no,657.0,no,no,cellular,3.0,apr,66.0,2.0,-1.0,0.0,unknown,no
44.0,services,single,secondary,no,862.0,yes,no,cellular,3.0,apr,582.0,2.0,-1.0,0.0,unknown,no
39.0,technician,married,tertiary,no,101.0,no,no,cellular,3.0,apr,441.0,1.0,-1.0,0.0,unknown,no
41.0,management,divorced,tertiary,no,902.0,yes,no,cellular,3.0,apr,134.0,1.0,-1.0,0.0,unknown,no
44.0,blue-collar,married,secondary,no,879.0,yes,no,cellular,3.0,apr,383.0,1.0,-1.0,0.0,unknown,no
39.0,blue-collar,married,primary,no,176.0,yes,yes,cellular,3.0,apr,189.0,2.0,-1.0,0.0,unknown,no
50.0,management,married,tertiary,no,414.0,yes,no,cellular,3.0,apr,707.0,1.0,302.0,3.0,failure,yes
26.0,blue-collar,single,secondary,no,5005.0,no,yes,cellular,3.0,apr,117.0,1.0,-1.0,0.0,unknown,yes
39.0,blue-collar,married,secondary,no,1756.0,yes,no,cellular,3.0,apr,939.0,1.0,-1.0,0.0,unknown,yes
55.0,blue-collar,divorced,secondary,no,1613.0,yes,no,cellular,3.0,apr,296.0,1.0,270.0,3.0,failure,yes
41.0,self-employed,married,,no,3123.0,yes,no,cellular,3.0,apr,1203.0,2.0,135.0,2.0,failure,yes
34.0,admin.,divorced,secondary,no,961.0,no,no,cellular,5.0,apr,137.0,2.0,430.0,2.0,failure,no
50.0,management,married,tertiary,no,5108.0,yes,no,cellular,5.0,apr,874.0,2.0,108.0,3.0,success,no
49.0,management,married,tertiary,no,3842.0,no,no,cellular,5.0,apr,163.0,1.0,186.0,3.0,failure,no
53.0,blue-collar,married,secondary,no,3079.0,no,no,cellular,5.0,apr,759.0,1.0,-1.0,0.0,unknown,no
30.0,technician,single,tertiary,no,2325.0,no,no,cellular,5.0,apr,270.0,3.0,241.0,4.0,other,no
44.0,management,married,secondary,no,2897.0,no,no,cellular,5.0,apr,296.0,1.0,180.0,4.0,other,no
47.0,admin.,married,secondary,no,70.0,yes,no,cellular,5.0,apr,144.0,4.0,374.0,2.0,success,yes
53.0,admin.,married,secondary,no,459.0,no,no,cellular,5.0,apr,558.0,1.0,-1.0,0.0,unknown,yes
54.0,technician,single,tertiary,no,118.0,no,no,cellular,,apr,280.0,1.0,-1.0,0.0,unknown,yes
54.0,technician,married,secondary,no,2102.0,yes,no,cellular,5.0,apr,547.0,1.0,626.0,2.0,failure,yes
34.0,blue-collar,married,secondary,no,800.0,no,no,cellular,5.0,apr,144.0,1.0,-1.0,0.0,unknown,yes
19.0,student,single,secondary,no,394.0,no,no,cellular,,apr,327.0,3.0,-1.0,0.0,unknown,yes
24.0,student,single,secondary,no,4126.0,no,no,cellular,5.0,apr,907.0,4.0,185.0,7.0,failure,yes
39.0,management,divorced,tertiary,no,224.0,no,no,cellular,5.0,apr,208.0,1.0,-1.0,0.0,unknown,yes
53.0,technician,married,tertiary,no,9001.0,no,no,cellular,5.0,apr,170.0,1.0,-1.0,0.0,unknown,yes
29.0,management,single,unknown,no,560.0,no,no,cellular,5.0,apr,459.0,1.0,307.0,1.0,failure,yes
30.0,management,married,tertiary,no,102.0,yes,no,cellular,5.0,apr,470.0,7.0,426.0,3.0,other,yes
50.0,blue-collar,married,primary,no,82.0,no,no,telephone,5.0,apr,456.0,1.0,-1.0,0.0,unknown,yes
30.0,technician,single,secondary,no,10152.0,yes,no,cellular,6.0,apr,1108.0,2.0,270.0,1.0,failure,no
36.0,blue-collar,married,secondary,no,2454.0,yes,no,cellular,6.0,apr,1859.0,1.0,-1.0,0.0,unknown,no
34.0,technician,single,secondary,no,2729.0,yes,no,cellular,6.0,apr,945.0,1.0,139.0,1.0,success,no
40.0,blue-collar,married,primary,no,2133.0,yes,yes,cellular,6.0,apr,377.0,3.0,325.0,1.0,failure,no
44.0,management,married,secondary,no,8262.0,yes,no,cellular,6.0,apr,150.0,1.0,257.0,16.0,failure,no
35.0,technician,married,secondary,no,5553.0,yes,no,cellular,6.0,apr,371.0,3.0,136.0,7.0,failure,no
59.0,services,married,primary,no,1562.0,yes,no,telephone,6.0,apr,471.0,2.0,270.0,1.0,other,no
47.0,admin.,single,secondary,no,1544.0,yes,no,cellular,6.0,apr,104.0,1.0,312.0,1.0,failure,no
80.0,retired,married,secondary,no,8304.0,no,no,telephone,6.0,apr,681.0,1.0,118.0,11.0,success,no
37.0,management,married,primary,no,3953.0,yes,no,cellular,6.0,apr,610.0,2.0,138.0,1.0,failure,no
45.0,blue-collar,married,secondary,no,-73.0,yes,no,cellular,6.0,apr,551.0,3.0,313.0,9.0,failure,no
33.0,admin.,single,secondary,no,2554.0,yes,no,telephone,6.0,apr,125.0,3.0,249.0,15.0,failure,no
42.0,blue-collar,married,primary,no,574.0,yes,no,cellular,6.0,apr,357.0,2.0,327.0,2.0,failure,no
45.0,blue-collar,married,secondary,no,146.0,yes,yes,cellular,6.0,apr,294.0,1.0,305.0,15.0,failure,no
35.0,blue-collar,married,secondary,no,270.0,yes,yes,cellular,6.0,apr,332.0,2.0,335.0,1.0,failure,no
39.0,management,single,tertiary,no,2651.0,no,no,cellular,6.0,apr,139.0,2.0,136.0,5.0,other,no
50.0,unemployed,married,tertiary,no,377.0,no,no,cellular,6.0,apr,283.0,1.0,319.0,3.0,failure,no
40.0,admin.,single,secondary,no,462.0,yes,yes,cellular,6.0,apr,272.0,1.0,335.0,4.0,other,no
40.0,management,married,tertiary,no,285.0,yes,no,cellular,6.0,apr,322.0,1.0,265.0,3.0,success,no
44.0,blue-collar,married,secondary,no,545.0,yes,no,cellular,6.0,apr,122.0,3.0,136.0,1.0,failure,no
36.0,technician,married,secondary,no,0.0,yes,no,cellular,6.0,,583.0,3.0,335.0,2.0,other,no
43.0,management,divorced,tertiary,no,20.0,no,no,cellular,6.0,apr,590.0,2.0,255.0,2.0,failure,no
38.0,admin.,married,secondary,no,1280.0,yes,no,cellular,6.0,apr,916.0,1.0,-1.0,0.0,unknown,no
38.0,services,married,secondary,no,968.0,yes,no,cellular,6.0,apr,272.0,1.0,-1.0,0.0,unknown,no
29.0,technician,single,,no,1729.0,yes,no,cellular,6.0,apr,479.0,1.0,-1.0,0.0,unknown,no
31.0,services,married,secondary,no,1062.0,yes,yes,cellular,6.0,apr,230.0,1.0,-1.0,0.0,unknown,no
37.0,blue-collar,divorced,secondary,no,811.0,yes,yes,cellular,6.0,apr,185.0,3.0,-1.0,0.0,unknown,no
42.0,admin.,single,tertiary,no,473.0,yes,no,cellular,6.0,,494.0,1.0,-1.0,0.0,unknown,no
34.0,admin.,single,secondary,no,266.0,yes,no,cellular,6.0,apr,437.0,2.0,-1.0,0.0,unknown,no
46.0,admin.,single,secondary,no,1070.0,yes,no,cellular,6.0,apr,194.0,2.0,-1.0,0.0,unknown,no
77.0,retired,married,tertiary,no,0.0,no,no,cellular,6.0,apr,190.0,1.0,-1.0,0.0,unknown,no
33.0,blue-collar,married,secondary,no,1101.0,yes,no,cellular,,apr,399.0,2.0,-1.0,0.0,unknown,no
41.0,blue-collar,married,secondary,no,0.0,yes,no,cellular,6.0,apr,165.0,4.0,-1.0,0.0,unknown,no
54.0,entrepreneur,divorced,unknown,no,4736.0,yes,no,telephone,6.0,apr,475.0,6.0,307.0,5.0,failure,yes
33.0,technician,single,tertiary,no,127.0,yes,no,cellular,6.0,apr,583.0,2.0,222.0,17.0,failure,yes
42.0,management,single,tertiary,no,11891.0,no,no,cellular,6.0,apr,158.0,1.0,-1.0,0.0,unknown,yes
50.0,blue-collar,married,primary,no,4979.0,no,no,telephone,,apr,180.0,1.0,-1.0,0.0,unknown,yes
40.0,management,married,secondary,no,754.0,no,yes,cellular,6.0,apr,635.0,1.0,-1.0,0.0,unknown,yes
36.0,self-employed,married,secondary,no,1184.0,yes,no,cellular,6.0,apr,1063.0,1.0,-1.0,0.0,unknown,yes
37.0,admin.,married,secondary,no,1207.0,yes,no,telephone,6.0,,1353.0,2.0,138.0,2.0,success,yes
44.0,blue-collar,single,secondary,no,712.0,yes,yes,cellular,6.0,apr,740.0,3.0,-1.0,0.0,unknown,yes
37.0,technician,single,tertiary,no,3943.0,no,no,cellular,6.0,apr,1138.0,2.0,138.0,1.0,failure,yes
32.0,management,single,secondary,no,1088.0,yes,no,cellular,6.0,apr,317.0,1.0,363.0,2.0,success,yes
27.0,student,single,tertiary,no,13107.0,yes,no,cellular,6.0,apr,661.0,1.0,314.0,2.0,failure,yes
33.0,self-employed,single,tertiary,no,562.0,yes,yes,cellular,6.0,apr,196.0,1.0,363.0,1.0,failure,yes
33.0,management,single,tertiary,no,718.0,yes,no,cellular,6.0,apr,122.0,1.0,98.0,2.0,success,yes
57.0,retired,married,unknown,no,230.0,no,no,cellular,6.0,apr,177.0,2.0,210.0,3.0,failure,yes
27.0,technician,single,tertiary,no,-67.0,yes,no,cellular,6.0,apr,604.0,3.0,236.0,2.0,failure,yes
36.0,management,single,tertiary,no,11767.0,yes,no,cellular,7.0,apr,226.0,1.0,-1.0,0.0,unknown,no
40.0,admin.,married,secondary,no,2591.0,yes,yes,cellular,,apr,389.0,1.0,266.0,2.0,other,no
31.0,blue-collar,married,primary,no,1601.0,no,no,cellular,7.0,apr,615.0,1.0,137.0,3.0,failure,no
46.0,admin.,divorced,secondary,no,1198.0,yes,yes,cellular,7.0,apr,837.0,1.0,307.0,1.0,other,no
36.0,blue-collar,single,secondary,no,3508.0,yes,no,cellular,7.0,apr,183.0,1.0,266.0,3.0,failure,no
53.0,blue-collar,divorced,secondary,no,1912.0,yes,yes,cellular,7.0,apr,210.0,1.0,253.0,2.0,failure,no
33.0,blue-collar,married,primary,no,1064.0,yes,no,cellular,7.0,apr,311.0,1.0,330.0,1.0,failure,no
37.0,technician,divorced,tertiary,no,1174.0,yes,no,cellular,7.0,apr,436.0,1.0,140.0,2.0,failure,no
54.0,blue-collar,married,secondary,no,5521.0,yes,no,cellular,7.0,apr,581.0,2.0,-1.0,0.0,unknown,no
33.0,management,married,tertiary,no,663.0,yes,no,cellular,7.0,apr,381.0,1.0,243.0,4.0,failure,no
39.0,blue-collar,single,primary,no,581.0,yes,no,cellular,7.0,apr,620.0,1.0,39.0,2.0,success,no
49.0,entrepreneur,divorced,tertiary,no,1342.0,yes,yes,cellular,7.0,apr,253.0,1.0,140.0,1.0,failure,no
48.0,services,married,secondary,no,665.0,yes,no,cellular,7.0,apr,271.0,2.0,230.0,3.0,failure,no
31.0,management,married,secondary,no,625.0,yes,no,cellular,,apr,424.0,1.0,138.0,1.0,failure,no
33.0,services,married,secondary,no,387.0,yes,no,cellular,7.0,apr,327.0,2.0,138.0,2.0,failure,no
35.0,technician,single,primary,no,744.0,yes,no,cellular,7.0,apr,1096.0,1.0,-1.0,0.0,unknown,no
30.0,technician,single,secondary,no,3568.0,yes,no,cellular,7.0,apr,265.0,1.0,-1.0,0.0,unknown,no
41.0,management,married,tertiary,no,5.0,yes,no,cellular,7.0,apr,542.0,3.0,140.0,3.0,failure,no
36.0,services,married,secondary,no,3740.0,yes,no,cellular,7.0,apr,254.0,1.0,-1.0,0.0,unknown,no
50.0,blue-collar,married,secondary,no,2320.0,yes,no,cellular,7.0,apr,310.0,1.0,-1.0,0.0,unknown,no
40.0,admin.,single,unknown,no,355.0,yes,no,cellular,7.0,apr,345.0,2.0,138.0,6.0,other,no
38.0,unemployed,married,tertiary,no,2012.0,no,no,cellular,7.0,apr,355.0,3.0,-1.0,0.0,unknown,no
31.0,technician,single,secondary,no,2484.0,yes,no,cellular,7.0,apr,562.0,1.0,-1.0,0.0,unknown,no
48.0,management,divorced,tertiary,no,351.0,yes,no,cellular,7.0,apr,725.0,3.0,-1.0,0.0,unknown,no
43.0,blue-collar,married,secondary,no,1617.0,yes,no,cellular,7.0,apr,239.0,1.0,-1.0,0.0,unknown,no
40.0,admin.,single,secondary,no,963.0,yes,no,cellular,7.0,apr,479.0,1.0,-1.0,0.0,unknown,no
53.0,blue-collar,married,secondary,no,2531.0,yes,no,cellular,7.0,apr,413.0,1.0,-1.0,0.0,unknown,no
50.0,management,married,secondary,no,732.0,no,no,cellular,7.0,apr,736.0,7.0,-1.0,0.0,unknown,no
33.0,blue-collar,married,secondary,no,1130.0,yes,no,cellular,7.0,apr,1063.0,1.0,-1.0,0.0,unknown,no
51.0,blue-collar,married,secondary,no,984.0,yes,no,telephone,7.0,apr,353.0,4.0,-1.0,0.0,unknown,no
39.0,management,married,tertiary,no,416.0,yes,no,cellular,7.0,apr,145.0,1.0,-1.0,0.0,unknown,no
43.0,entrepreneur,married,tertiary,no,903.0,yes,no,cellular,7.0,apr,197.0,1.0,-1.0,0.0,unknown,no
45.0,entrepreneur,single,primary,no,0.0,no,no,cellular,7.0,apr,354.0,1.0,-1.0,0.0,unknown,no
46.0,technician,married,secondary,no,138.0,yes,no,cellular,7.0,apr,226.0,2.0,-1.0,0.0,unknown,no
33.0,services,married,secondary,no,0.0,yes,yes,cellular,7.0,apr,487.0,1.0,-1.0,0.0,unknown,no
38.0,services,single,secondary,no,167.0,yes,no,cellular,7.0,apr,255.0,2.0,-1.0,0.0,unknown,no
30.0,blue-collar,single,tertiary,no,297.0,no,no,cellular,7.0,apr,465.0,4.0,-1.0,0.0,unknown,yes
26.0,self-employed,single,secondary,no,3676.0,no,no,cellular,7.0,apr,148.0,1.0,-1.0,0.0,unknown,yes
47.0,unemployed,married,secondary,no,817.0,no,no,cellular,7.0,apr,721.0,4.0,-1.0,0.0,unknown,yes
46.0,blue-collar,single,tertiary,no,283.0,no,no,cellular,7.0,apr,299.0,1.0,-1.0,0.0,unknown,yes
25.0,admin.,single,secondary,no,82.0,no,yes,cellular,7.0,apr,104.0,2.0,-1.0,0.0,unknown,yes
51.0,blue-collar,married,secondary,no,4787.0,yes,no,cellular,7.0,apr,895.0,1.0,-1.0,0.0,unknown,yes
55.0,self-employed,married,secondary,no,12159.0,yes,no,cellular,8.0,apr,179.0,5.0,139.0,4.0,failure,no
38.0,blue-collar,married,secondary,no,6994.0,yes,no,telephone,8.0,apr,169.0,1.0,139.0,2.0,failure,no
32.0,technician,married,secondary,no,1951.0,yes,no,cellular,8.0,apr,518.0,2.0,261.0,2.0,failure,no
35.0,blue-collar,married,secondary,no,2926.0,yes,no,cellular,8.0,apr,182.0,1.0,292.0,25.0,failure,no
34.0,student,single,tertiary,no,3404.0,yes,no,cellular,8.0,apr,420.0,1.0,139.0,5.0,failure,no
37.0,admin.,single,secondary,no,810.0,yes,no,cellular,8.0,apr,376.0,1.0,295.0,1.0,failure,no
39.0,admin.,married,secondary,no,217.0,yes,no,cellular,8.0,apr,284.0,1.0,308.0,4.0,failure,no
38.0,technician,married,tertiary,no,3234.0,no,no,cellular,8.0,apr,281.0,1.0,141.0,2.0,success,no
36.0,self-employed,married,primary,no,1094.0,yes,no,cellular,8.0,apr,291.0,1.0,335.0,1.0,failure,no
40.0,blue-collar,single,primary,no,446.0,yes,no,cellular,8.0,apr,594.0,4.0,331.0,1.0,failure,no
45.0,blue-collar,married,primary,no,31.0,no,no,cellular,8.0,apr,393.0,2.0,310.0,1.0,other,no
54.0,entrepreneur,married,tertiary,no,1063.0,yes,no,telephone,8.0,apr,690.0,7.0,-1.0,0.0,unknown,no
35.0,blue-collar,married,secondary,no,1993.0,yes,no,cellular,8.0,apr,462.0,2.0,-1.0,0.0,unknown,no
27.0,student,single,tertiary,no,3687.0,no,no,cellular,8.0,apr,335.0,2.0,-1.0,0.0,unknown,no
42.0,blue-collar,married,,no,3168.0,yes,no,cellular,8.0,apr,764.0,2.0,-1.0,0.0,unknown,no
37.0,services,single,secondary,no,248.0,yes,no,cellular,8.0,apr,417.0,2.0,57.0,3.0,failure,no
37.0,admin.,married,tertiary,no,2693.0,yes,no,cellular,8.0,apr,261.0,1.0,-1.0,0.0,unknown,no
50.0,management,married,unknown,no,5043.0,yes,yes,cellular,8.0,apr,201.0,1.0,-1.0,0.0,unknown,no
55.0,blue-collar,married,secondary,no,1358.0,no,no,cellular,8.0,apr,149.0,1.0,-1.0,0.0,unknown,no
33.0,management,single,tertiary,no,259.0,no,no,cellular,8.0,apr,195.0,6.0,-1.0,0.0,unknown,no
35.0,unemployed,married,tertiary,no,1057.0,yes,no,cellular,8.0,apr,902.0,2.0,-1.0,0.0,unknown,no
50.0,blue-collar,married,secondary,no,562.0,yes,no,cellular,8.0,apr,280.0,2.0,-1.0,0.0,unknown,no
48.0,admin.,single,secondary,no,1234.0,yes,no,cellular,8.0,apr,188.0,1.0,-1.0,0.0,unknown,no
35.0,blue-collar,married,secondary,no,21.0,yes,no,cellular,8.0,apr,663.0,2.0,-1.0,0.0,unknown,no
56.0,technician,married,secondary,no,2847.0,no,no,cellular,8.0,apr,327.0,1.0,-1.0,0.0,unknown,yes
36.0,blue-collar,single,secondary,no,1822.0,yes,no,cellular,8.0,apr,952.0,1.0,323.0,1.0,other,yes
35.0,technician,single,secondary,no,16.0,yes,no,cellular,8.0,apr,903.0,1.0,-1.0,0.0,unknown,yes
65.0,retired,married,secondary,no,20806.0,no,no,telephone,8.0,apr,523.0,2.0,-1.0,0.0,unknown,yes
54.0,unemployed,married,secondary,no,377.0,no,no,cellular,8.0,apr,1134.0,1.0,-1.0,0.0,unknown,yes
48.0,management,married,secondary,no,4415.0,yes,no,cellular,8.0,apr,1032.0,3.0,141.0,7.0,failure,yes
32.0,technician,married,secondary,no,303.0,yes,no,cellular,8.0,apr,150.0,1.0,267.0,4.0,failure,yes
60.0,admin.,divorced,secondary,no,12039.0,no,no,telephone,8.0,apr,236.0,1.0,-1.0,0.0,unknown,yes
67.0,retired,married,secondary,no,1443.0,no,no,cellular,8.0,apr,245.0,1.0,-1.0,0.0,unknown,yes
27.0,technician,single,tertiary,no,4661.0,no,no,cellular,8.0,apr,114.0,1.0,-1.0,0.0,unknown,yes
32.0,management,single,tertiary,no,1781.0,no,no,cellular,8.0,apr,321.0,1.0,-1.0,0.0,unknown,yes
26.0,admin.,married,secondary,no,3415.0,no,no,cellular,8.0,apr,209.0,1.0,-1.0,0.0,unknown,yes
33.0,management,single,tertiary,no,318.0,yes,no,cellular,,apr,1190.0,1.0,141.0,3.0,other,yes
21.0,student,single,primary,no,423.0,no,no,cellular,8.0,apr,104.0,5.0,-1.0,0.0,unknown,yes
30.0,technician,single,secondary,no,2544.0,no,no,cellular,8.0,apr,108.0,2.0,-1.0,0.0,unknown,yes
27.0,student,single,secondary,no,2614.0,no,no,cellular,8.0,apr,143.0,2.0,-1.0,0.0,unknown,yes
